Company Name,AI Check,Signed Check,Deals Check,Zip Code,Phone,Website,Source
Kopitiam,Kopitiam,No,No,10002,(646) 609-3785,https://www.kopitiamnyc.com/,Eater
L'Industrie Pizzeria,L'Industrie,No,No,11211,(718) 599-0002,http://www.lindustriebk.com/,Eater
La Cabra,Cabra,No,No,10003,Not Available,https://www.lacabra.dk/,Eater
Larry's Ca Phe,Ca Phe,No,No,11211,Not Available,https://www.larryscaphe.com/,Eater
Le B.,B.,No,No,10014,Not Available,https://lebnyc.com/,Eater
Le Bernardin,Bernardin,No,No,10019,(212) 554-1515,https://www.le-bernardin.com/home,Eater
Le Bernardin,Bernardin,No,No,10019,(212) 554-1515,http://www.le-bernardin.com/,Eater
Le Crocodile,Crocodile,No,No,11249,(718) 460-8004,http://lecrocodile.com/,Eater
Le Dive,Dive,No,No,10002,(646) 370-6222,http://www.ledivenyc.com/,Eater
Le Marais,Marais,No,No,10036,(212) 869-0900,http://lemarais.net/,Eater
Lê Phin,Phin,No,No,10009,(415) 412-7066,Not Available,Eater
Liebman’s Deli,Liebman's,No,No,10463,(718) 548-4534,http://liebmansdeli.com/,Eater
Little Myanmar,Myanmar,No,No,10009,Not Available,Not Available,Eater
Lola's,Lola's,No,No,10001,Not Available,https://www.lolasnyc.com/,Eater
Lombardi's,Lombardi's,No,No,10012,(212) 941-7994,http://www.firstpizza.com/,Eater
Lure Fishbar,Lure,No,No,10012,(212) 431-7676,http://www.lurefishbar.com/,Eater
M Star Cafe,M Star Cafe,No,No,10002,(212) 966-8988,Not Available,Eater
Macosa Trattoria,Macosa,No,No,11216,(646) 574-7866,https://www.macosanyc.com/,Eater
Madonia Bakery,Madonia Bakery,No,No,10458,(718) 295-5573,http://www.madoniabakery.net/,Eater
Magnolia Bakery,Magnolia Bakery,No,No,10014,(212) 462-2572,http://www.magnoliabakery.com/,Eater
Malai Ice Cream,Malai,No,No,11231,(347) 889-5789,https://www.malai.co/,Eater
Mắm,Mắm,No,No,10002,Not Available,https://www.hotplate.com/mamnyc,Eater
Mamoun's,Mamoun's,No,No,10012,(212) 674-8685,http://www.mamouns.com,Eater
Manero's of Mulberry,Mulberry,No,No,10013,(212) 961-6183,http://maneros.pizza/,Eater
Mario’s Restaurant,Mario's,No,No,10458,(718) 584-1188,http://www.mariosarthurave.com/,Eater
Mariscos El Submarino,Submarino,No,No,11372,(718) 685-2780,https://www.mariscoselsubmarino.com/,Eater
Mark's Off Madison,Mark's Off Madison,No,No,10010,(646) 838-8300,https://www.marksoffmadison.com/,Eater
Massara,Massara,No,No,10010,Not Available,Not Available,Eater
Max & Mina's Ice Cream,Mina's,No,No,11367,(718) 793-8629,https://max-minas-ice-cream.business.site/,Eater
McSorley’s Old Ale House,McSorley's,No,No,10003,Not Available,http://mcsorleysoldalehouse.nyc/,Eater
Mee Sum Cafe,Mee,No,No,10013,Not Available,Not Available,Eater
Mei Lai Wah Wonton Noodle,Wonton,No,No,10038,(212) 966-4033,http://www.wontonnoodlegarden.com/,Eater
Meju,Meju,No,No,11101,Not Available,https://www.exploretock.com/mejunyc,Eater
Melba's,Melba's,No,No,10026,(212) 864-7777,http://www.melbasrestaurant.com/,Eater
Misi,Misi,No,No,11249,(347) 566-3262,http://www.misinewyork.com/,Eater
Misipasta,Misipasta,No,No,10013,(347) 844-6474,https://www.misipasta.com,Eater
Momoya SoHo,Momoya,No,No,10012,(646) 429-9315,https://momoyanyc.com/soho.html,Eater
Monterey,Monterey,No,No,10022,(212) 377-7171,https://montereybrasserie.com/,Eater
Morandi,Morandi,No,No,10014,(212) 627-7575,http://www.morandiny.com/,Eater
Morgenstern’s Finest Ice Cream,Morgenstern's,No,No,10012,(212) 209-7684,http://www.morgensternsnyc.com/,Eater
Moustache Pitza,Moustache,No,No,10014,(212) 229-2220,http://moustachepitza.com/,Eater
Nakaji,Nakaji,No,No,10013,(646) 478-8282,http://www.nakajinyc.com/,Eater
Nathan's Famous,Nathan's,No,No,11224,(718) 946-2202,http://www.nathansfamous.com,Eater
Nepali Bhanchha Ghar,Bhanchha,No,No,11372,917-745-0533,Not Available,Eater
Noz 17,Noz 17,No,No,10011,Not Available,http://noz17.com/,Eater
Nyonya,Nyonya,No,No,10013,(212) 334-3669,http://www.ilovenyonya.com/,Eater
Oddfellows,Oddfellows,No,No,11201,(718) 683-5755,https://www.oddfellowsnyc.com/,Eater
Odeon,Odeon,No,No,10013,(718) 368-1730,http://www.theodeonrestaurant.com,Eater
Old Homestead Steakhouse,Homestead,No,No,10011,(212) 242-9040,http://www.theoldhomesteadsteakhouse.com/,Eater
Old John's Luncheonette,Old John's,No,No,10023,(212) 874-2700,https://iloveoldjohns.com/,Eater
P.J. Clarke's,Clarke's,No,No,10022,(212) 317-1616,http://pjclarkes.com,Eater
Parm,Parm,No,No,10012,(212) 993-7189,http://www.parmnyc.com/,Eater
Pastrami Queen,Queen,No,No,10028,(212) 828-0007,http://www.pastramiqueen.com,Eater
Peaches Restaurant,Peaches,No,No,11233,(718) 942-4162,https://www.bcrestaurantgroup.com/location/peaches-kitchen-bar/,Eater
Peasant,Peasant,No,No,10012,(212) 965-9511,http://www.peasantnyc.com/,Eater
Peppa's,Peppa's,No,No,11226,(646) 683-6012,https://www.peppasonline.com/,Eater
Perry St,Perry St,No,No,10014,(212) 352-1900,http://www.perrystrestaurant.com/,Eater
Plowshares Coffee,Plowshares,No,No,10025,(212) 222-0280,http://plowsharescoffee.com/,Eater
Potluck Club,Potluck,No,No,10002,Not Available,https://thepotluckclubny.com/,Eater
Press Club Grill,Press Club Grill,No,No,10001,(646) 838-9020,https://www.pressclubgrill.com/,Eater
Púsù,Púsù,No,No,11249,Not Available,https://www.pusuvegetarian.com/,Eater
Rana Fifteen,Rana Fifteen,No,No,11217,(347) 599-1525,http://www.ranafifteen.com/,Eater
Randazzo's Clam Bar,Randazzo's,No,No,11235,(718) 615-0010,https://randazzosclambar.nyc/,Eater
Raoul's,Raoul's,No,No,10012,(212) 966-3518,http://raouls.com/,Eater
Rebèl,Rebèl,No,No,10002,Not Available,https://newyorkcreolecuisine.com/,Eater
Rezdôra,Rezdôra,No,No,10003,(646) 692-9090,https://rezdora.nyc/,Eater
Rice To Riches,Rice To Riches,No,No,10012,(212) 274-0008,https://www.ricetoriches.com/,Eater
Roberto's,Roberto's,No,No,10458,(718) 733-9503,https://www.robertosbronx.com/,Eater
Roll N Roaster,Roaster,No,No,11235,(718) 769-6000,http://rollnroaster.com/,Eater
Russ & Daughters,Russ,No,No,10002,(212) 475-4880,http://russanddaughters.com,Eater
S&P,S&P,No,No,10010,(212) 691-8862,http://www.sandwich.place/,Eater
Saishin,Saishin,No,No,10014,(212) 206-6700,http://www.gansevoorthotelgroup.com/gansevoort-meatpacking-nyc/eat-drink/saishin-by-kissaki,Eater
Salty Lunch Lady's Little Luncheonette,Luncheonette,No,No,11385,(929) 337-7629,http://saltylunchlady.com/,Eater
Sammy's Roumanian,Roumanian,No,No,10002,(212) 673-0330,Not Available,Eater
San Sabino,Sabino,No,No,10014,Not Available,https://www.sansabinonyc.com/,Eater
San Sabino,San Sabino,No,No,10014,Not Available,https://www.sansabinonyc.com/,Eater
Santa Fe BK,Santa Fe,No,No,11211,(347) 304-1759,http://santafebk.com/,Eater
Sappe,Sappe,No,No,10011,Not Available,https://www.sappenyc.com/,Eater
Scarr's Pizza,Scarr's,No,No,10002,(212) 334-3481,http://www.scarrspizza.com/,Eater
Sedutto,Sedutto,No,No,10075,(212) 879-9557,http://sedutto78.com,Eater
Sevilla,Sevilla,No,No,10014,(212) 929-3189,http://sevillarestaurantandbar.com,Eater
Sey Coffee,Sey Coffee,No,No,11206,(347) 871-1611,http://sey.coffee,Eater
Shu Jiao Fu Zhou,Shu,No,No,10002,(212) 625-2532,https://www.shujiaony.com/,Eater
Shuko,Shuko,No,No,10003,(212) 228-6088,http://shukonyc.com,Eater
Skirt Steak,Skirt Steak,No,No,10001,Not Available,https://www.skirtsteaknyc.com/,Eater
Son Del North,North,No,No,10002,Not Available,Not Available,Eater
Soothr,Soothr,No,No,10003,(212) 844-9789,http://soothrnyc.com/,Eater
Spicy Moon,Spicy Moon,No,No,10003,(646) 429-8471,http://www.spicymoonnyc.com/,Eater
Spicy Village,Spicy,No,No,10002,(212) 625-8299,http://www.spicyvillagenyc.com/,Eater
St Kilda Coffee,St Kilda Coffee,No,No,10036,(917) 262-0945,http://stkildacoffee.com/,Eater
St. Anselm,Anselm,No,No,11211,(718) 384-5054,http://www.stanselm.net/,Eater
Streecha,Streecha,No,No,10003,(212) 677-7160,https://www.instagram.com/streecha/?hl=en,Eater
Sugar Hill Creamery,Sugar Hill Creamery,No,No,10026,(212) 634-9004,http://www.sugarhillcreamery.com/,Eater
Suited,Suited,No,No,10038,Not Available,http://suitednyc.com/,Eater
Sunday C&C Eatery,C&C,No,No,10012,Not Available,http://thebowerymarket.com/,Eater
Super Burrito,Burrito,No,No,11249,(347) 599-0533,https://superburritonyc.com,Eater
Super Taste,Taste,No,No,10002,(646) 283-0999,http://www.supertasteny.com/,Eater
Sushi Azabu,Azabu,No,No,10013,(212) 274-0428,https://www.sushi-azabu.com/?y_source=1_MjkxMjUzNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Eater
Sushi Ichimura,Ichimura,No,No,10013,(212) 542-3896,http://www.sushiichimura.nyc/,Eater
Sushi Lab,Sushi Lab,No,No,10003,(212) 665-3737,http://www.sushilab.com/,Eater
Sushi of Gari Upper West Side,Gari,No,No,10024,(212) 362-4816,https://www.sushiofgari.com/,Eater
Sushi Yasuda,Yasuda,No,No,10017,(212) 972-1001,http://www.sushiyasuda.com,Eater
Sweet Dynasty Ice Cream,Dynasty,No,No,11220,(718) 765-1668,Not Available,Eater
Sylvia's,Sylvia's,No,No,10027,(212) 996-0660,http://www.sylviasrestaurant.com/,Eater
Taiwan Pork Chop House,Taiwan,No,No,10013,(212) 791-7007,http://www.taiwanporkchop.com/,Eater
Takeda,Takeda,No,No,10024,(646) 370-6965,https://www.takedanyc.com/,Eater
Tanoreen,Tanoreen,No,No,11209,(718) 748-5600,http://www.tanoreen.com/,Eater
Taqueria Ramirez,Ramirez,No,No,11222,Not Available,https://www.instagram.com/taqueria_ramirez_/,Eater
Tatiana by Kwame Onwuachi,Tatiana,No,No,10023,(212) 875-5222,https://www.tatiananyc.com/,Eater
Tea & Sympathy,Sympathy,No,No,10011,(212) 989-9735,http://www.teaandsympathy.com/,Eater
Temple Canteen,Temple Canteen,No,No,11355,(718) 460-8493,http://canteen.nyganeshtemple.org/,Eater
Thai Diner,Thai Diner,No,No,10012,(646) 559-4140,http://www.thaidiner.com/,Eater
The Donut Pub,Donut,No,No,10011,(212) 929-0126,http://www.donutpub.com,Eater
The Grill,Grill,No,No,10022,(212) 254-3000,http://www.thegrillnewyork.com/,Eater
The Modern,Modern,No,No,10019,(212) 333-1220,https://www.themodernnyc.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,Eater
The Noortwyck,Noortwyck,No,No,10014,(917) 261-2009,http://www.thenoortwyck.com/,Eater
The Odeon,Odeon,No,No,10013,(212) 233-0507,http://www.theodeonrestaurant.com/,Eater
The Original Buddha Bodai Kosher Vegetarian Restaurant,Buddha,No,No,10013,(212) 566-8388,http://www.buddha-bodai.com/,Eater
The Original Chinatown Ice Cream Factory,The Original Chinatown Ice Cream Factory,No,No,10013,(212) 608-4170,http://www.chinatownicecreamfactory.com,Eater
The Press Club Grill,The Press Club Grill,No,No,10001,(646) 838-9020,https://www.pressclubgrill.com/,Eater
The Social,The Social,No,No,11238,(718) 304-5387,http://thesocialbrooklyn.com/,Eater
ThisBowl,ThisBowl,No,No,10012,Not Available,https://thisbowl.com/,Eater
Three Decker Diner,Decker,No,No,11222,(718) 389-6664,https://www.instagram.com/threedeckerdiner/?hl=en,Eater
Torrisi,Torrisi,No,No,10012,(212) 254-3000,https://www.torrisinyc.com,Eater
Tosokchon,Tosokchon,No,No,10016,(646) 398-8880,https://www.tosokchonnyc.com/,Eater
Ugly Baby,Baby,No,No,11231,(347) 689-3075,http://www.uglybabynyc.com/,Eater
Uluh,Uluh,No,No,10003,(917) 261-5963,http://www.uluhny.com,Eater
Una Pizza Napoletana,Una,No,No,10002,(646) 476-4457,https://unapizza.com/,Eater
Uncle Lou,Uncle Lou,No,No,10013,(212) 966-5538,http://www.unclelounyc.com/,Eater
Van Leeuwen Artisan Ice Cream,Van Leeuwen,No,No,11222,Not Available,http://www.vanleeuwenicecream.com/,Eater
Variety Coffee Roasters,Variety,No,No,10028,(212) 289-2104,https://varietycoffeeroasters.com/,Eater
Veeray Da Dhaba,Veeray,No,No,10009,(212) 777-1420,http://www.veeraydadhaba.com/,Eater
Veniero's Pasticceria & Caffe,Veniero's,No,No,10003,(212) 674-7070,http://www.venierospastry.com/,Eater
Villager,Villager,No,No,11238,Not Available,https://instagram.com/villager_ny?igshid=YmMyMTA2M2Y=,Eater
Vinyl Steakhouse,Vinyl,No,No,10011,(646) 461-7866,https://www.vinylsteakhouse.com/,Eater
Wah Fung No. 1,No. 1,No,No,10002,Not Available,Not Available,Eater
Wenwen,Wenwen,No,No,11222,(646) 901-5644,http://www.wenwenbrooklyn.com/,Eater
West New Malaysia,Malaysia,No,No,10013,(212) 964-0284,https://westmalaysiatogo.com/,Eater
Win Son,Win Son,No,No,11206,(347) 457-6010,https://winsonbrooklyn.com/,Eater
Wo Hop,Wo Hop,No,No,10013,(212) 962-8617,http://wohop17.com/,Eater
Woorijip,Woorijip,No,No,10001,(212) 244-1115,http://woorijipnyc.com,Eater
Wu's Wonton King,Wonton,No,No,10002,(212) 477-1111,http://www.wuswontonking.com/,Eater
Yafa Cafe,Yafa,No,No,11220,(347) 464-3999,http://www.yafabrooklyn.com/,Eater
YGF Malatang,Malatang,No,No,10003,Not Available,https://www.instagram.com/ygfmalatangusa/,Eater
Yi Ji Shi Mo,Yi Ji Shi Mo,No,No,10013,(646) 233-6311,Not Available,Eater
Yoshino,Yoshino,No,No,10012,Not Available,https://www.yoshinonewyork.com/,Eater